"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"","","49","Vintage Backpack Anti Theft Laptop Backpack Men Women Business Travel Computer Backpack School College Bookbag Stylish Water Resistant Vintage Backpack with USB Port Fits 15.6 Inch Laptop Black","HFSX","$21.99","415","$9126","","$13.87","249","4.5","$8.12","7","FBA","Laptop Backpacks","B07S4F8GFL","https://www.amazon.com/Vintage-Backpack-Business-Computer-Resistant/dp/B07S4F8GFL/ref=sr_1_49?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-49"
"","","50","AmazonBasics Classic School Backpack - Black","AmazonBasics","$19.49","380","$7406","","$11.86","8321","4.5","$7.63","3","AMZ","Clothing Shoes & Jewelry","B013TGEJEE","https://www.amazon.com/Amazonbasics-Classic-School-Backpack-Black/dp/B013TGEJEE/ref=sr_1_50?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-50"
"","","51","Champion Men's Manuscript Backpack","Champion","$20.99","510","$10705","","$14.65","665","4.5","$6.34","2","AMZ","Clothing Shoes & Jewelry","B07BKW2CXV","https://www.amazon.com/Champion-Mens-Manuscript-Backpack-Heather/dp/B07BKW2CXV/ref=sr_1_51?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-51"
"","","52","Travel Laptop BackpackExtra Large Capacity TSA Friendly Anti Theft Backpacks with USB Charging PortWater-Resistant Men Women Business College Student Computer Bookbag Fits 17 Inch Laptop&Notebook","Jiefeike","$45.99","114","$5243","","$34.06","600","4.5","$11.93","5","FBA","Laptop Backpacks","B07HDMJHZ7","https://www.amazon.com/Backpack-Capacity-Friendly-Backpacks-Water-Resistant/dp/B07HDMJHZ7/ref=sr_1_52?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-52"
"","","53","Unisex College Bag Fits up to 15.6 Laptop Casual Rucksack Waterproof School Backpack Daypacks (AllBlackWithUSB)","Ronyes","$26.99","711","$19190","","$18.23","2105","4.5","$8.76","6","FBA","Laptop Backpacks","B07HRQNQT8","https://www.amazon.com/Rucksack-Waterproof-Backpack-Daypacks-AllBlackWithUSB/dp/B07HRQNQT8/ref=sr_1_53?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-53"
"","","54","Travel Laptop Business Backpack Anti Theft College Computer Bagpack Keyhole zipper Design Gifts for Men & Women Fits 15.6 Inch Notebook with USB Charging Port Bonus a Small pencil Case Black","KEYTANG","$9.95","150","$1493","","","21","5","","","FBA","Laptop Backpacks","B07ZV9KNRK","https://www.amazon.com/Laptop-Business-Backpack-College-Computer/dp/B07ZV9KNRK/ref=sr_1_54?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-54"
"","","55","SOLDIERKNIFE Extra Large Durable 50L Travel Laptop Backpack School Backpack Travel Backpack College Bookbag with USB Charging Port fit 17 Inch Laptops for Men Women Including Lock Black","SOLDIERKNIFE","$32.99","2896","$95539","","$22.95","266","4.5","$10.04","","FBA","Laptop Backpacks","B07V4R4Z77","https://www.amazon.com/Mochila-port%C3%A1til-adaptarse-pulgadas-hombres/dp/B07V4R4Z77/ref=sr_1_8?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-8"
"","","56","Laptop Backpack Extra Large 17 Inch Business Travel Backpack with USB Charging Port Earphone Hole Durable Water Resistant Work Computer Backpack College/High School Bags for Men/Women/Boys","Sosoon","$25.99","527","$13697","","$17.25","527","5","$8.74","5","FBA","Laptop Backpacks","B07QZHJ5W5","https://www.amazon.com/dp/B07QZHJ5W5"
"","","57","UGRACE Vintage Laptop Backpack Slim School Bag Travelling Backpacks with USB Charging Port for Men Women","UGRACE","$23.99","18","$432","","$15.68","507","4.5","$8.31","5","FBA","","B07MFLKD4X","https://www.amazon.com/dp/B07MFLKD4X"
"","","58","SOLDIERKNIFE Durable Waterproof Anti Theft Laptop Backpack Travel Backpacks Bookbag with usb Charging Port for Women & Men School College Students Backpack Fits 15.6 Inch Laptop Grey","SOLDIERKNIFE","$22.98","4451","$102284","","$14.82","1442","4.5","$8.16","5","FBA","Laptop Backpacks","B07SDNTVFD","https://www.amazon.com/dp/B07SDNTVFD"
"","","59","Modoker Upgraded Vintage Laptop Backpack for Women MenSchool College Backpack with USB Charging Port Fashion Backpack Computer Bag Fits 15 inch Notebook (Grey-Function Update)","Modoker","$28.99","160","$4638","","$19.93","397","4.5","$9.06","6","FBA","Laptop Backpacks","B076LS75YD","https://www.amazon.com/dp/B076LS75YD"
"","","60","Laptop Backpack Business Water Resistant Laptops Backpack Gift for Men Women with Lock and USB Charging Port Mancro Anti Theft College School Bookbag Travel Computer Bag for 15.6 Inch LaptopsGrey","Mancro","$16.99","3500","$59465","","$9.73","9418","4.5","$7.26","6","FBA","Laptop Backpacks","B01LY3QXGP","https://www.amazon.com/dp/B01LY3QXGP"
"","","61","PANS Backpack Large Military Expandable Travel Backpack Tactical Waterproof Hiking Backpack for Men","Feeke","$37.99","3156","$119896","","$27.06","1251","4.5","$10.93","5","FBA","Sports & Outdoors","B07GDCS123","https://www.amazon.com/dp/B07GDCS123"
"","","62","Vintage Backpack Anti Theft Laptop Backpack Men Women Business Travel Computer Backpack School College Bookbag Stylish Water Resistant Vintage Backpack with USB Port Fits 15.6 Inch Laptop Black","HFSX","$21.99","415","$9126","","$13.87","249","4.5","$8.12","7","FBA","Laptop Backpacks","B07S4F8GFL","https://www.amazon.com/Vintage-Backpack-Business-Computer-Resistant/dp/B07S4F8GFL/ref=sr_1_49?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-49"
"","","63","Laptop Backpack Anti Theft Slim with USB Charging Port & a Small Pouch","KEYTANG","$12.95","","","","","6","5","","","FBA","","B07ZVGF5LB","https://www.amazon.com/dp/B07ZVGF5LB"
